word;frequency
lopéra;94
national;17
paris;53
simplement;1
opéra;13
dans;40
forme;1
courte;1
compagnie;7
française;1
dopéra;8
ballet;8
ayant;1
succédé;1
celles;2
réunies;1
sein;1
lacadémie;28
royale;19
musique;19
produit;1
œuvres;6
lyriques;8
différentes;2
salles;6
quil;8
occupées;1
cours;3
histoire;3
chantées;1
artistes;5
autrefois;1
attachés;1
façon;2
permanente;1
mais;9
désormais;1
invités;3
ballets;2
dansés;1
membres;7
accompagnés;1
musiciens;7
orchestre;1
symphonique;1
depuis;4
siècle;6
lactivité;1
sorganise;1
entre;7
deux;11
garnier;15
inauguré;2
bastille;10
langage;1
courant;1
terme;3
désigne;1
souvent;3
palais;7
sens;1
architectural;1
était;6
unie;1
lopéracomique;7
salle;12
favart;2
sous;11
lappellation;1
réunion;5
théâtres;4
nationaux;4
statut;5
détablissement;1
public;20
français;15
caractère;1
industriel;1
commercial;1
epic;2
placé;1
tutelle;1
ministère;3
culture;5
elle;3
pour;55
mission;5
rendre;2
accessible;1
plus;21
grand;9
nombre;8
patrimoine;3
lyrique;9
chorégraphique;4
favoriser;2
aussi;12
création;9
représentation;9
dœuvres;3
contemporaines;3
contribue;2
ailleurs;2
formation;5
professionnelle;1
perfectionnement;3
chanteurs;9
danseurs;7
centre;1
dart;1
lécole;4
danse;25
nanterre;1
enfin;3
secteur;1
animation;1
jeune;4
élabore;1
chaque;3
saison;18
programme;2
pédagogique;2
dirigé;2
stéphane;9
lissner;11
directeur;26
nommé;6
ministre;2
mandat;19
décret;6
juillet;4
renouvelable;1
fois;7
période;12
membre;1
opéras;4
france;6
reseo;1
réseau;1
européen;1
sensibilisation;1
dopera;1
europa;1
historique;2
prémices;1
décembre;3
mazarin;2
fait;4
représenter;1
petitbourbon;1
face;1
louvre;2
divertissement;1
louis;4
finta;1
pazza;1
francesco;2
sacrati;1
précurseur;1
lopéraballet;1
cest;6
premier;5
donné;2
démolie;1
octobre;3
faire;8
place;7
colonnade;1
machines;1
suite;6
installée;1
tuileries;1
inaugurée;1
février;5
avec;21
lercole;1
amante;1
cavalli;1
commandé;2
mariage;2
dont;8
retardée;1
dehors;2
janvier;4
tragédieballet;1
psyché;1
jeanbaptiste;3
lully;4
philippe;5
quinault;1
nest;3
cependant;10
utilisée;1
fondée;2
linitiative;1
treize;4
académistes;2
font;2
partie;6
lentourage;2
cour;1
sont;13
plupart;1
former;1
codifier;1
lart;2
liberté;2
considération;1
jouissent;1
chapelle;1
puis;4
vers;4
tard;2
occasionne;1
violent;1
conflit;1
ménestrandise;4
guillaume;2
dumanoir;5
soppose;1
plainte;1
provoque;2
riposte;1
part;2
académiciens;2
démontrant;1
besoin;1
dinstruments;1
confrérie;1
saintjulien;1
publie;2
alors;2
contre;1
prétendus;2
virulent;1
libelle;1
titré;1
dance;1
contenant;1
réponce;1
livre;2
touchant;1
arts;3
signé;1
joueur;1
violon;1
cabinet;1
majesté;1
vingtcinq;1
grandbande;1
pourvu;1
loffice;1
joueurs;1
dinstrumens;2
maîtres;4
dancer;1
sabstenant;1
toujours;1
présenter;1
leurs;5
lettres;1
créances;1
guillame;1
nouveau;5
tente;2
obliger;1
payer;1
taxes;1
dinscription;1
corporation;2
concerne;2
activités;2
comme;15
bals;1
mariages;1
concerts;1
conseil;5
royal;3
donne;3
tort;1
retire;1
monopole;2
forts;1
avril;1
obtiennent;1
leur;7
enseignement;1
peuvent;1
exercer;2
sans;7
être;3
inscrits;1
après;7
contentieux;1
obtient;4
novembre;6
possibilité;1
concurrence;1
recevoir;1
titre;5
maestro;1
donner;2
leçons;1
déclaration;1
portant;1
règlement;1
fonctions;1
jurez;1
syndics;1
doffice;1
communauté;1
danser;3
joüeurs;1
tant;4
hauts;1
hautbois;1
ville;1
faubourgs;1
décidant;1
afin;5
mettre;3
plaintes;1
personne;2
pourrait;1
tenir;1
spectacle;6
possession;1
reconnu;1
maître;2
lexception;1
pourraient;1
ainsi;8
continuer;1
complète;2
bien;3
lobjet;2
soit;5
réfléchir;2
danalyser;1
normaliser;1
matière;1
aucun;1
document;1
relatif;1
activité;1
cette;16
théorisation;1
parvenu;1
jusquà;3
nous;1
profil;1
modifie;1
progressivement;1
consacrent;1
essentiellement;1
ancienne;1
académique;1
classique;4
deviendra;2
intégrée;1
nouvelle;6
académie;3
donnera;1
naissance;1
créée;3
parvenir;1
élever;1
sujets;1
propres;3
remplir;1
emplois;1
manqueront;1
départ;3
troupe;3
nombreuse;1
exclusivement;1
masculine;1
jusquen;4
divertissements;1
intermèdes;1
dopéras;1
daction;1
fleurissait;1
déjà;3
dautres;3
scènes;1
françaises;2
simpose;1
